epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,129.313,1.11435,2.32537,0.63855,0.83271,1.19936,0.86943,0.86655,0.91979,0.6069,0.8951,0.75978,0.82776,0.44581,1.13414,1.94821,0.54845,0.74359,1.2144,0.0015248,0.0015248,0.0015248
50,131.453,1.13885,2.27329,0.61968,0.81056,1.20648,0.85109,0.83562,0.90169,0.59216,0.87468,0.78767,0.83233,0.46859,1.15575,1.88001,0.54377,0.7806,1.22331,0.0015149,0.0015149,0.0015149
51,133.509,1.07736,2.23692,0.63575,0.79634,1.18275,0.90465,0.84483,0.92156,0.64264,0.90206,0.75706,0.84256,0.50651,1.09576,1.82167,0.53423,0.74757,1.19495,0.001505,0.001505,0.001505
52,135.358,1.14489,2.17951,0.62776,0.8433,1.19575,0.82326,0.87671,0.92044,0.60843,0.79241,0.84247,0.83442,0.49606,1.12394,1.80285,0.53972,0.79617,1.2154,0.0014951,0.0014951,0.0014951
53,137.513,1.11921,2.1431,0.63338,0.81447,1.19628,0.92184,0.80782,0.89251,0.56986,0.9182,0.76885,0.85941,0.50063,1.20462,1.85191,0.53829,0.7892,1.25543,0.0014852,0.0014852,0.0014852
54,139.659,1.11656,2.24401,0.63611,0.80425,1.20127,0.90872,0.81825,0.90219,0.59833,0.88641,0.80822,0.87641,0.49628,1.14821,1.92927,0.54347,0.77377,1.24636,0.0014753,0.0014753,0.0014753
55,141.655,1.09792,2.19059,0.63361,0.78398,1.19734,0.92516,0.86301,0.93739,0.61424,0.87953,0.80011,0.84635,0.52455,1.1815,1.90946,0.54268,0.73577,1.22342,0.0014654,0.0014654,0.0014654
56,143.967,1.07355,2.21758,0.63165,0.79085,1.1902,0.87849,0.89133,0.92793,0.62551,0.85181,0.86301,0.87193,0.52029,1.11271,1.78121,0.54425,0.77174,1.21335,0.0014555,0.0014555,0.0014555
57,145.87,1.10497,2.24652,0.62396,0.80911,1.18766,0.87801,0.84247,0.91405,0.61536,0.87696,0.81507,0.86379,0.52296,1.09604,1.75022,0.54557,0.76487,1.20602,0.0014456,0.0014456,0.0014456
58,147.997,1.11298,2.12028,0.62153,0.79706,1.19162,0.90999,0.83092,0.91283,0.62724,0.90167,0.82877,0.86452,0.54388,1.08331,1.70583,0.54351,0.79166,1.17128,0.0014357,0.0014357,0.0014357
59,153.099,1.11997,2.18294,0.6239,0.80937,1.20088,0.89089,0.84247,0.91764,0.63143,0.88237,0.81507,0.86821,0.52729,1.08133,1.7634,0.54707,0.7541,1.16119,0.0014258,0.0014258,0.0014258
60,155.238,1.04708,2.06888,0.62403,0.76422,1.17383,0.84415,0.90411,0.93529,0.63922,0.86287,0.84247,0.89658,0.54202,1.08806,1.68801,0.54282,0.68634,1.18434,0.0014159,0.0014159,0.0014159
61,157.17,1.07961,2.20045,0.61624,0.79242,1.18817,0.93889,0.84185,0.95051,0.65553,0.90836,0.81474,0.88093,0.57016,1.08536,1.65715,0.54615,0.67206,1.15815,0.001406,0.001406,0.001406
62,159.425,1.08298,2.11714,0.6238,0.79006,1.1684,0.88408,0.84932,0.92935,0.62425,0.86982,0.83562,0.88012,0.50567,1.10471,1.83243,0.54345,0.72397,1.1871,0.0013961,0.0013961,0.0013961
63,161.443,1.07882,2.19493,0.6272,0.79024,1.16712,0.93163,0.84005,0.94109,0.63963,0.9248,0.82192,0.87498,0.50733,1.06671,1.76333,0.53375,0.67318,1.17895,0.0013862,0.0013862,0.0013862
64,163.654,1.06966,2.03256,0.61536,0.78,1.17889,0.933,0.85849,0.94387,0.62768,0.91695,0.83181,0.88372,0.54497,1.09311,1.67578,0.53737,0.69188,1.18662,0.0013763,0.0013763,0.0013763
65,165.812,1.08576,2.14692,0.6263,0.80968,1.17897,0.89434,0.83562,0.9119,0.6037,0.86189,0.81212,0.8313,0.51022,1.09074,1.92581,0.53745,0.76582,1.18492,0.0013664,0.0013664,0.0013664
66,168.015,1.09265,2.08774,0.62378,0.79397,1.19004,0.88553,0.84779,0.91556,0.6375,0.85648,0.82192,0.84807,0.53156,1.05074,1.73011,0.53301,0.76861,1.15098,0.0013565,0.0013565,0.0013565
67,169.867,1.04619,2.04798,0.62626,0.73727,1.15288,0.90163,0.8789,0.94019,0.65024,0.89417,0.86805,0.89145,0.57074,1.03757,1.51167,0.5329,0.6831,1.14412,0.0013466,0.0013466,0.0013466
68,171.986,1.05364,2.01676,0.61971,0.75934,1.15903,0.91938,0.86986,0.94783,0.63259,0.89003,0.84247,0.88758,0.53978,1.1282,1.58249,0.53396,0.69093,1.19779,0.0013367,0.0013367,0.0013367
69,174.115,1.05553,1.96959,0.62041,0.78484,1.16541,0.92162,0.86301,0.93607,0.62265,0.8831,0.81507,0.87637,0.55933,1.11792,1.4568,0.54027,0.67948,1.1993,0.0013268,0.0013268,0.0013268
70,176.551,1.05475,1.93344,0.61413,0.76469,1.14664,0.91542,0.88962,0.94516,0.6133,0.88752,0.86301,0.89496,0.53877,1.15238,1.60049,0.53291,0.70462,1.21405,0.0013169,0.0013169,0.0013169
71,179.075,1.00717,1.94427,0.61966,0.75463,1.17076,0.92965,0.90505,0.95803,0.65467,0.92194,0.85616,0.90151,0.54654,1.07818,1.6065,0.53338,0.66446,1.17465,0.001307,0.001307,0.001307
72,181.531,1.04614,1.93323,0.62121,0.75124,1.17203,0.92856,0.86986,0.95606,0.65863,0.90751,0.84932,0.90328,0.56972,1.08583,1.6506,0.5367,0.67483,1.18339,0.0012971,0.0012971,0.0012971
73,186.876,1.04243,1.88703,0.62743,0.7417,1.16127,0.94628,0.89726,0.96277,0.63701,0.89532,0.84932,0.88766,0.56646,1.13855,1.64985,0.54108,0.66717,1.18376,0.0012872,0.0012872,0.0012872
74,188.833,1.0613,1.98957,0.61789,0.75597,1.16732,0.90604,0.89726,0.95721,0.66133,0.86679,0.85616,0.89854,0.59751,1.08618,1.59244,0.53601,0.63561,1.15421,0.0012773,0.0012773,0.0012773
75,191.112,1.03036,1.9634,0.61157,0.75,1.16608,0.9389,0.84932,0.95628,0.66564,0.90339,0.84932,0.90548,0.61377,1.07028,1.48034,0.52297,0.67905,1.14828,0.0012674,0.0012674,0.0012674
76,193.376,1.01141,1.80217,0.61269,0.74931,1.14471,0.92034,0.87052,0.95207,0.65883,0.89135,0.84291,0.89596,0.59516,1.07914,1.53883,0.52201,0.67793,1.17317,0.0012575,0.0012575,0.0012575
77,195.562,1.00724,1.78222,0.61304,0.72198,1.13228,0.90957,0.8956,0.94461,0.66055,0.8957,0.88234,0.90764,0.58455,1.04886,1.55197,0.52862,0.6701,1.14875,0.0012476,0.0012476,0.0012476
78,197.866,1.01414,1.7978,0.60724,0.72949,1.12978,0.92848,0.89041,0.9466,0.66004,0.92015,0.86986,0.90195,0.59544,1.04325,1.49513,0.52571,0.66732,1.16225,0.0012377,0.0012377,0.0012377
79,200.639,1.0137,1.90991,0.61463,0.72862,1.15494,0.90529,0.9166,0.95878,0.65785,0.89107,0.89726,0.91137,0.59036,1.05357,1.45911,0.52805,0.65137,1.16907,0.0012278,0.0012278,0.0012278
80,202.751,1.01768,1.82873,0.61688,0.71516,1.13248,0.88337,0.91096,0.9561,0.65878,0.89776,0.83562,0.88818,0.59292,1.0487,1.49605,0.52862,0.67338,1.15562,0.0012179,0.0012179,0.0012179
81,205.161,1.00361,1.93957,0.60906,0.74094,1.12584,0.92114,0.84932,0.94221,0.64256,0.88358,0.83177,0.88282,0.6083,1.07101,1.44095,0.52792,0.70183,1.15747,0.001208,0.001208,0.001208
82,207.332,1.02454,1.84916,0.61412,0.71097,1.15351,0.91741,0.85616,0.9259,0.63882,0.90968,0.84932,0.89615,0.6133,1.07167,1.49087,0.52927,0.71965,1.18439,0.0011981,0.0011981,0.0011981
83,209.478,1.01391,1.77938,0.60681,0.71999,1.15603,0.91655,0.90273,0.93976,0.6478,0.89715,0.89726,0.90206,0.60267,1.06626,1.40497,0.52804,0.7368,1.16986,0.0011882,0.0011882,0.0011882
84,211.527,1.0019,1.79994,0.62042,0.73897,1.1455,0.91663,0.82834,0.91536,0.63115,0.92258,0.81624,0.88176,0.60591,1.08361,1.47398,0.53028,0.73467,1.19999,0.0011783,0.0011783,0.0011783
85,213.728,1.04095,1.91329,0.60643,0.74482,1.16519,0.93374,0.86986,0.95624,0.66539,0.92365,0.85616,0.91212,0.60109,1.03945,1.43099,0.52384,0.66774,1.1694,0.0011684,0.0011684,0.0011684
86,215.822,0.99597,1.75633,0.60723,0.71191,1.14383,0.95033,0.92466,0.96766,0.68105,0.92119,0.88356,0.92131,0.61666,1.04865,1.42397,0.53369,0.62334,1.16226,0.0011585,0.0011585,0.0011585
87,217.623,0.99846,1.72439,0.61342,0.72367,1.13733,0.92879,0.89332,0.95606,0.67051,0.92158,0.8854,0.92338,0.64816,1.06898,1.36245,0.52595,0.65735,1.16789,0.0011486,0.0011486,0.0011486
88,222.649,0.99532,1.79287,0.60256,0.70052,1.14054,0.95574,0.88737,0.96622,0.6737,0.93344,0.86454,0.92475,0.65968,1.04271,1.3724,0.52457,0.63871,1.13963,0.0011387,0.0011387,0.0011387
89,224.901,0.98344,1.80008,0.59611,0.7115,1.13577,0.91589,0.91781,0.96166,0.66211,0.90905,0.91096,0.93574,0.64904,1.04174,1.39018,0.52213,0.64191,1.14482,0.0011288,0.0011288,0.0011288
90,227.04,0.95869,1.68976,0.60095,0.6982,1.1153,0.93543,0.91781,0.95496,0.65877,0.92876,0.893,0.91049,0.63624,1.03087,1.42272,0.52027,0.65654,1.16491,0.0011189,0.0011189,0.0011189
91,229.451,0.94654,1.73535,0.60012,0.66923,1.10452,0.93513,0.90411,0.95591,0.67067,0.92004,0.88356,0.9121,0.63851,1.03247,1.43166,0.5201,0.64333,1.1791,0.001109,0.001109,0.001109
92,231.986,0.97685,1.75174,0.60664,0.68676,1.14293,0.92909,0.89747,0.9606,0.69052,0.91492,0.88391,0.93179,0.67398,1.03152,1.34108,0.52333,0.62375,1.16528,0.0010991,0.0010991,0.0010991
93,234.026,0.97576,1.67538,0.60235,0.69704,1.12824,0.92084,0.87645,0.94924,0.66873,0.94266,0.86986,0.93007,0.65552,1.06685,1.35224,0.52194,0.65884,1.17466,0.0010892,0.0010892,0.0010892
94,236.376,0.95137,1.69944,0.60477,0.69541,1.12283,0.95588,0.89036,0.95809,0.67684,0.94035,0.89726,0.9351,0.64088,1.0346,1.32186,0.51417,0.63756,1.15041,0.0010793,0.0010793,0.0010793
95,238.651,0.93466,1.6387,0.59387,0.67537,1.09812,0.95561,0.88468,0.9636,0.66706,0.95561,0.88468,0.93339,0.62477,1.07046,1.33399,0.51023,0.61029,1.18754,0.0010694,0.0010694,0.0010694
96,240.838,0.97057,1.56002,0.59792,0.67854,1.12824,0.92855,0.89726,0.95875,0.6774,0.91501,0.88356,0.92284,0.6486,1.04773,1.28711,0.51438,0.59256,1.15171,0.0010595,0.0010595,0.0010595
97,243.015,0.95754,1.70883,0.60176,0.67986,1.1072,0.89849,0.89726,0.95957,0.67125,0.94617,0.84268,0.94432,0.65805,1.04513,1.2409,0.50498,0.62461,1.15111,0.0010496,0.0010496,0.0010496
98,245.343,0.96732,1.65646,0.60418,0.71116,1.14618,0.93475,0.88314,0.95879,0.68006,0.92025,0.86945,0.93428,0.66692,1.0608,1.29083,0.50907,0.61901,1.1546,0.0010397,0.0010397,0.0010397
99,247.599,0.92917,1.5702,0.59987,0.65354,1.10811,0.90419,0.90499,0.95736,0.67868,0.96009,0.82382,0.92371,0.66125,1.04977,1.34075,0.51445,0.61175,1.16271,0.0010298,0.0010298,0.0010298
100,249.536,0.97174,1.64646,0.60219,0.67077,1.11611,0.94774,0.86956,0.95764,0.6819,0.94812,0.87627,0.93468,0.67555,1.0492,1.28328,0.51318,0.63487,1.15092,0.0010199,0.0010199,0.0010199
101,251.496,0.92243,1.57891,0.59151,0.65845,1.10055,0.92305,0.90383,0.95095,0.66924,0.90153,0.87795,0.9269,0.66224,1.05909,1.26067,0.511,0.63393,1.15264,0.00101,0.00101,0.00101
102,253.589,0.92372,1.69009,0.59251,0.65994,1.10141,0.94415,0.92637,0.96302,0.67447,0.92323,0.90611,0.93797,0.67272,1.04442,1.23588,0.50443,0.62172,1.13912,0.0010001,0.0010001,0.0010001
103,259.431,0.96125,1.72786,0.60779,0.68806,1.11576,0.96413,0.89726,0.95908,0.66379,0.94205,0.87671,0.93625,0.66173,1.03689,1.25971,0.50534,0.60893,1.1508,0.0009902,0.0009902,0.0009902
104,261.516,0.96739,1.63013,0.58914,0.69412,1.11611,0.92867,0.8917,0.9549,0.6621,0.9295,0.90411,0.94012,0.66683,1.07107,1.30115,0.50535,0.61711,1.19304,0.0009803,0.0009803,0.0009803
105,263.774,0.95993,1.66846,0.60123,0.70064,1.13493,0.92206,0.88356,0.94905,0.68124,0.92137,0.88291,0.9325,0.68087,1.04935,1.28937,0.50818,0.61204,1.16333,0.0009704,0.0009704,0.0009704
106,265.797,0.93728,1.62379,0.58965,0.65915,1.0849,0.89933,0.87671,0.95132,0.65676,0.92214,0.84932,0.92564,0.67851,1.06737,1.26086,0.50952,0.63176,1.16694,0.0009605,0.0009605,0.0009605
107,267.705,0.94858,1.61939,0.59092,0.67294,1.11487,0.90422,0.90524,0.96022,0.67032,0.95411,0.85449,0.93458,0.68446,1.03077,1.22418,0.51187,0.62986,1.14941,0.0009506,0.0009506,0.0009506
108,269.899,0.94207,1.61044,0.58658,0.67465,1.09644,0.96686,0.87671,0.96673,0.68806,0.96686,0.87671,0.93281,0.67663,1.01648,1.27544,0.50564,0.58324,1.14463,0.0009407,0.0009407,0.0009407
109,272.098,0.90374,1.5322,0.58292,0.64215,1.08414,0.92998,0.91096,0.96016,0.68812,0.9351,0.88356,0.93574,0.67896,1.03766,1.27376,0.50696,0.5863,1.15122,0.0009308,0.0009308,0.0009308
110,274.137,0.93042,1.51307,0.57984,0.651,1.10194,0.95925,0.89726,0.96864,0.67544,0.94461,0.88356,0.91069,0.6493,1.02305,1.35849,0.50532,0.583,1.16179,0.0009209,0.0009209,0.0009209
111,276.348,0.92214,1.59636,0.58843,0.64645,1.09866,0.95665,0.907,0.97602,0.68775,0.935,0.88675,0.92729,0.65266,1.02738,1.30823,0.50493,0.57724,1.16173,0.000911,0.000911,0.000911
112,278.711,0.95023,1.57343,0.57667,0.679,1.1049,0.94305,0.90735,0.96973,0.68492,0.91505,0.8854,0.9382,0.67227,1.0221,1.20876,0.49909,0.58468,1.15948,0.0009011,0.0009011,0.0009011
113,280.897,0.89045,1.52883,0.5786,0.62437,1.07604,0.91744,0.91338,0.96739,0.70205,0.88665,0.91781,0.94066,0.68054,0.97657,1.19726,0.49609,0.57614,1.12182,0.0008912,0.0008912,0.0008912
114,283.246,0.89566,1.44514,0.58645,0.63091,1.08961,0.91711,0.90411,0.9523,0.6837,0.89609,0.886,0.91992,0.63644,0.99675,1.24413,0.4994,0.59422,1.12154,0.0008813,0.0008813,0.0008813
115,285.789,0.91689,1.46953,0.58353,0.67048,1.08577,0.92201,0.89069,0.94837,0.68096,0.92126,0.88151,0.9301,0.66647,1.01601,1.2263,0.49418,0.61442,1.12677,0.0008714,0.0008714,0.0008714
116,288.352,0.85388,1.49235,0.58661,0.62363,1.0745,0.94834,0.89726,0.96633,0.68913,0.98473,0.8833,0.93899,0.68235,0.97865,1.22881,0.49179,0.57274,1.10867,0.0008615,0.0008615,0.0008615
117,293.784,0.89938,1.56121,0.58392,0.64113,1.09661,0.94715,0.89041,0.96578,0.69906,0.93972,0.88356,0.93686,0.6709,0.98863,1.22608,0.49524,0.58943,1.12368,0.0008516,0.0008516,0.0008516
